ID,Age,Region,Income,Spending,Town
699,79,Rural,38541,193,Pineville
700,57,Urban,95830,1013,Silverlake
701,52,Rural,34333,71,Willowbrook
702,30,Rural,30594,942,Pineville
703,60,Urban,75017,3760,Maple Heights
704,44,Rural,21041,336,Willowbrook
705,25,Urban,71849,2244,Silverlake
706,58,Urban,93420,4697,Brookfield
707,59,Rural,31854,85,Meadowtown
708,46,Rural,37149,54,Pineville
709,79,Urban,64567,1064,Lakeside
710,33,Urban,69278,8161,Sunset City
711,60,Rural,35160,165,Willowbrook
712,70,Rural,34077,124,Pineville
713,63,Rural,27548,837,Cedar Valley
714,22,Urban,56450,7559,Sunset City
715,54,Urban,48851,1478,Stonebridge
716,57,Urban,53945,3448,Riverfall
717,57,Urban,91033,6234,Maple Heights
718,59,Urban,64338,3362,Brookfield
719,77,Rural,32710,919,Pineville
720,27,Rural,36198,1578,Forest Hollow
721,32,Rural,25740,1282,Willowbrook
722,38,Rural,39864,114,Pineville
723,51,Rural,33967,907,Pineville
724,39,Urban,83149,3771,Sunset City
725,39,Rural,39168,74,Meadowtown
726,26,Rural,25021,462,Pineville
727,43,Rural,24704,231,Willowbrook
728,30,Rural,28888,41,Pineville
729,71,Urban,87935,4313,Silverlake
730,35,Urban,70758,7459,Sunset City
731,18,Urban,58547,2107,Lakeside
732,40,Urban,73898,10725,Riverfall
733,50,Rural,27140,3260,Willowbrook
734,64,Rural,28741,149,Meadowtown
735,48,Urban,84394,4813,Silverlake
736,75,Urban,61204,1893,Maple Heights
737,38,Urban,49657,4691,Stonebridge
738,40,Urban,84770,5913,Hilltop
739,33,Rural,34546,680,Pineville
740,78,Rural,31160,124,Meadowtown
741,44,Urban,67544,251,Maple Heights
742,54,Urban,160783,4827,Grassville
743,80,Urban,103981,2430,Brighton
744,55,Urban,75935,5390,Stonebridge
745,69,Urban,75562,7431,Stonebridge
746,31,Urban,84792,4954,Brookfield
747,54,Urban,84589,8631,Hilltop
748,64,Urban,106581,6779,Stonebridge
749,24,Urban,75353,5338,Stonebridge
750,29,Urban,68187,2826,Maple Heights
751,45,Rural,36075,25,Willowbrook
752,20,Urban,66031,5562,Riverfall
753,39,Rural,34946,609,Cedar Valley
754,68,Urban,61884,6637,Silverlake
755,38,Urban,94478,3966,Hilltop
756,80,Urban,96124,3673,Sunset City
757,46,Urban,79545,10122,Hilltop
758,37,Urban,72997,5657,Maple Heights
759,20,Rural,35953,376,Pineville
760,44,Urban,147051,8127,Grassville
761,38,Urban,93950,14615,Brighton
762,58,Rural,32224,73,Meadowtown
763,50,Urban,60718,2834,Brighton
764,47,Rural,31147,1731,Willowbrook
765,65,Urban,80844,4234,Stonebridge
766,56,Urban,72171,5027,Hilltop
767,58,Rural,24960,964,Forest Hollow
768,76,Rural,28113,795,Pineville
769,26,Rural,30168,76,Willowbrook
770,65,Rural,31597,722,Pineville
771,55,Rural,24041,348,Forest Hollow
772,40,Rural,30961,291,Meadowtown
773,71,Urban,86125,5025,Brighton
774,40,Urban,106450,7248,Lakeside
775,18,Urban,39566,6018,Brookfield
776,38,Urban,83553,3757,Riverfall
777,49,Urban,154417,2373,Grassville
778,62,Urban,96924,4178,Sunset City
779,43,Rural,29197,30,Willowbrook
780,50,Urban,94505,3240,Sunset City
781,77,Urban,98584,960,Stonebridge
782,26,Urban,77504,4297,Brighton
783,34,Rural,23358,276,Meadowtown
784,23,Rural,24219,284,Cedar Valley
785,63,Rural,39535,360,Forest Hollow
786,24,Urban,153066,1882,Grassville
787,24,Urban,83150,299,Brighton
788,74,Urban,91845,809,Hilltop
789,74,Rural,29559,466,Cedar Valley
790,54,Urban,93363,2253,Brookfield
791,22,Urban,54252,2800,Silverlake
792,50,Rural,28420,88,Forest Hollow
793,67,Urban,99562,1561,Brookfield
794,27,Urban,99066,3035,Silverlake
795,34,Rural,30085,237,Pineville
796,57,Urban,66590,2515,Hilltop
797,45,Urban,148429,9188,Grassville
798,64,Urban,76776,3087,Maple Heights
799,63,Rural,31922,1747,Cedar Valley
800,39,Rural,40475,1171,Pineville
801,38,Urban,60454,2705,Lakeside
802,79,Urban,91348,1367,Silverlake
803,64,Urban,59766,4557,Hilltop
804,73,Urban,149490,2002,Grassville
805,49,Urban,68451,1406,Riverfall
806,49,Urban,65069,944,Maple Heights
807,68,Rural,43820,651,Pineville
808,53,Rural,39904,458,Willowbrook
809,48,Rural,36654,1977,Cedar Valley
810,23,Urban,84205,3795,Brighton
811,71,Urban,101905,11938,Lakeside
812,38,Rural,25183,416,Willowbrook
813,52,Urban,82611,2663,Maple Heights
814,31,Urban,75541,8766,Brighton
815,40,Urban,148155,769,Grassville
816,79,Urban,73617,1493,Lakeside
817,59,Urban,68325,1137,Silverlake
818,79,Urban,74862,1138,Maple Heights
819,41,Urban,81504,3822,Maple Heights
820,47,Urban,145437,1142,Grassville
821,27,Rural,28640,252,Pineville
822,22,Urban,72821,2808,Brighton
823,80,Urban,79973,3319,Sunset City
824,78,Rural,22107,100,Willowbrook
825,76,Rural,34448,311,Willowbrook
826,59,Urban,96822,4686,Brighton
827,47,Rural,37147,128,Pineville
828,24,Urban,92736,2923,Silverlake
829,23,Urban,69005,1713,Riverfall
830,25,Urban,63578,3759,Brookfield
831,69,Urban,87854,2407,Sunset City
832,43,Rural,30251,722,Cedar Valley
833,76,Urban,95647,205,Brighton
834,35,Urban,97369,9651,Riverfall
835,53,Urban,58399,1925,Sunset City
836,43,Urban,76757,12833,Silverlake
837,53,Urban,77937,2760,Brookfield
838,58,Rural,41276,392,Willowbrook
839,21,Rural,33456,602,Forest Hollow
840,71,Urban,86018,1853,Stonebridge
841,77,Urban,65600,2623,Sunset City
842,30,Urban,83650,10992,Brighton
843,72,Rural,39187,128,Forest Hollow
844,41,Rural,35215,2207,Meadowtown
845,72,Rural,36335,285,Forest Hollow
846,48,Rural,32280,83,Willowbrook
847,80,Rural,37535,48,Cedar Valley
848,39,Rural,29313,1743,Cedar Valley
849,57,Urban,65736,5509,Sunset City
850,35,Urban,86510,5190,Brookfield
851,51,Urban,109585,8567,Brookfield
852,40,Urban,82146,3345,Sunset City
853,56,Urban,49711,2340,Lakeside
854,64,Rural,39683,830,Forest Hollow
855,54,Rural,39607,1173,Forest Hollow
856,75,Urban,76101,6847,Brookfield
857,64,Urban,47430,2858,Hilltop
858,18,Rural,36970,424,Cedar Valley
859,76,Urban,150151,6609,Grassville
860,59,Urban,87004,3592,Riverfall
861,37,Urban,47489,5532,Stonebridge
862,64,Urban,70264,2577,Sunset City
863,42,Rural,36570,645,Forest Hollow
864,23,Urban,144398,4658,Grassville
865,69,Rural,39061,538,Pineville
866,47,Rural,31509,232,Cedar Valley
867,37,Rural,28342,241,Cedar Valley
868,26,Urban,83619,2856,Sunset City
869,73,Urban,72794,871,Maple Heights
870,65,Urban,88146,2661,Lakeside
871,66,Rural,49021,353,Meadowtown
872,35,Urban,91157,1973,Maple Heights
873,57,Rural,30742,89,Willowbrook
874,20,Urban,79248,3100,Silverlake
875,53,Urban,99313,1981,Brookfield
876,23,Urban,100586,4838,Hilltop
877,61,Urban,110242,2078,Brookfield
878,55,Urban,62856,1031,Brookfield
879,18,Urban,84124,629,Riverfall
880,36,Urban,88893,4846,Brookfield
881,55,Urban,90307,2653,Maple Heights
882,45,Rural,31933,1204,Pineville
883,64,Urban,86313,4018,Brighton
884,26,Rural,24726,477,Forest Hollow
885,64,Rural,34524,274,Cedar Valley
886,80,Urban,147536,1572,Grassville
887,27,Rural,30023,1033,Cedar Valley
888,41,Urban,67090,5609,Brookfield
889,43,Urban,57687,3013,Brighton
890,25,Rural,32550,976,Meadowtown
891,22,Rural,26177,888,Pineville
892,30,Rural,32023,102,Willowbrook
893,39,Rural,30376,626,Meadowtown
894,51,Rural,36051,89,Willowbrook
895,42,Urban,50200,5211,Riverfall
896,40,Rural,35557,927,Forest Hollow
897,58,Urban,84811,1395,Brighton
898,65,Rural,30449,712,Pineville
899,38,Urban,32419,4668,Silverlake
900,20,Rural,29663,918,Meadowtown
901,25,Urban,64427,818,Brookfield
902,63,Rural,30985,19,Forest Hollow
903,67,Rural,27074,242,Cedar Valley
904,79,Urban,62522,5394,Brighton
905,56,Rural,33821,322,Willowbrook
906,68,Rural,31021,488,Willowbrook
907,56,Urban,70438,3784,Stonebridge
908,39,Rural,37861,407,Willowbrook
909,62,Urban,144815,4464,Grassville
910,28,Urban,94573,2095,Maple Heights
911,40,Urban,146350,5734,Grassville
912,66,Urban,155519,5920,Grassville
913,33,Rural,25020,256,Cedar Valley
914,69,Urban,79235,1696,Riverfall
915,77,Urban,73759,5004,Sunset City
916,68,Rural,42017,1654,Meadowtown
917,45,Rural,27961,156,Willowbrook
918,52,Urban,85586,3695,Maple Heights
919,59,Rural,24882,257,Meadowtown
920,46,Rural,36409,534,Forest Hollow
921,76,Urban,159854,918,Grassville
922,73,Urban,68586,8258,Silverlake
923,55,Urban,72852,2325,Lakeside
924,23,Rural,36734,46,Meadowtown
925,66,Urban,104225,3412,Silverlake
926,31,Urban,77157,1605,Brookfield
927,46,Urban,76550,3642,Hilltop
928,66,Rural,31071,1038,Pineville
929,79,Urban,91344,3514,Silverlake
930,45,Rural,27986,946,Cedar Valley
931,27,Urban,147402,1087,Grassville
932,63,Rural,48491,17,Meadowtown
933,64,Urban,77155,2047,Sunset City
934,21,Urban,73315,5320,Lakeside
935,41,Urban,79925,14715,Stonebridge
936,19,Urban,154511,4195,Grassville
937,63,Urban,59812,4798,Maple Heights
938,76,Urban,63555,2165,Lakeside
939,46,Rural,29675,382,Meadowtown
940,42,Urban,152642,3494,Grassville
941,48,Urban,45034,1004,Hilltop
942,64,Rural,46758,338,Willowbrook
943,68,Urban,86540,1547,Maple Heights
944,63,Urban,84597,5101,Sunset City
945,32,Rural,24743,31,Cedar Valley
946,55,Urban,86986,2602,Stonebridge
947,50,Urban,154712,1205,Grassville
948,67,Rural,28761,133,Willowbrook
949,66,Rural,28478,412,Pineville
950,25,Rural,29706,186,Willowbrook
951,57,Urban,71540,2846,Hilltop
952,33,Rural,19805,227,Pineville
953,55,Rural,35878,124,Forest Hollow
954,61,Urban,63455,1448,Stonebridge
955,58,Urban,97187,890,Riverfall
956,51,Urban,150191,12312,Grassville
957,80,Urban,66971,4072,Hilltop
958,23,Rural,29044,883,Willowbrook
959,56,Urban,74957,3401,Stonebridge
960,57,Urban,90248,4156,Stonebridge
961,66,Urban,101212,2619,Silverlake
962,40,Rural,31040,56,Meadowtown
963,70,Urban,68699,6764,Maple Heights
964,67,Rural,40720,52,Cedar Valley
965,38,Urban,80336,9192,Brighton
966,52,Urban,55856,3786,Hilltop
967,64,Urban,66653,1526,Brookfield
968,46,Urban,87202,2086,Brookfield
969,52,Urban,84209,7122,Maple Heights
970,19,Rural,31438,119,Pineville
971,50,Urban,79636,3579,Riverfall
972,43,Urban,68059,6674,Stonebridge
973,61,Urban,84554,5797,Sunset City
974,49,Urban,83811,11189,Sunset City
975,35,Urban,84605,3934,Riverfall
976,51,Rural,34658,120,Meadowtown
977,47,Urban,147574,9099,Grassville
978,61,Urban,82759,4161,Sunset City
979,40,Urban,61753,5466,Brookfield
980,65,Rural,31303,664,Cedar Valley
981,72,Rural,32785,1048,Meadowtown
982,37,Urban,108993,5453,Stonebridge
983,63,Urban,88507,1474,Riverfall
984,80,Urban,77745,2624,Hilltop
985,75,Urban,73911,6390,Brookfield
986,40,Urban,80266,3360,Hilltop
987,57,Urban,79692,1289,Silverlake
988,25,Urban,74875,1769,Brookfield
989,31,Urban,70058,4232,Maple Heights
990,77,Urban,58696,4866,Sunset City
991,40,Rural,29637,28,Forest Hollow
992,63,Urban,81512,1376,Lakeside
993,31,Urban,88676,811,Brighton
994,19,Urban,62040,5349,Brookfield
995,75,Rural,30130,531,Forest Hollow
996,21,Urban,75051,3726,Lakeside
997,41,Urban,97583,826,Sunset City
998,68,Urban,111832,6774,Sunset City
999,53,Urban,61912,4867,Silverlake
1000,26,Urban,53610,8235,Riverfall
